Data,Nazwa,Prognozy
2024-04-23,KRUK,449.0188
2024-04-24,KRUK,449.29416
2024-04-25,KRUK,449.5666
2024-04-26,KRUK,449.83698
2024-04-27,KRUK,450.10492
2024-04-28,KRUK,450.3707
2024-04-29,KRUK,450.63425
2024-04-30,KRUK,450.895
2024-05-01,KRUK,451.15402
2024-05-02,KRUK,451.40988
2024-05-03,KRUK,451.66327
2024-05-04,KRUK,451.91437
2024-05-05,KRUK,452.16278
2024-05-06,KRUK,452.40964
2024-05-07,KRUK,452.6542
2024-05-08,KRUK,452.8967
2024-04-09,CDPROJECT,115.39008
2024-04-10,CDPROJECT,115.52194
2024-04-11,CDPROJECT,115.57755
2024-04-12,CDPROJECT,115.57812
2024-04-13,CDPROJECT,115.538956
2024-04-14,CDPROJECT,115.47154
2024-04-15,CDPROJECT,115.38419
2024-04-16,CDPROJECT,115.28266
2024-04-17,CDPROJECT,115.170845
2024-04-18,CDPROJECT,115.051636
2024-04-19,CDPROJECT,114.92692
2024-04-20,CDPROJECT,114.798294
2024-04-21,CDPROJECT,114.6669
2024-04-22,CDPROJECT,114.5336
2024-04-23,CDPROJECT,114.39932
2024-04-24,CDPROJECT,114.264565
2024-04-25,CDPROJECT,114.12986
2024-04-26,CDPROJECT,113.99588
2024-04-27,CDPROJECT,113.86287
2024-04-28,CDPROJECT,113.73125
2024-04-29,CDPROJECT,113.60145
2024-04-30,CDPROJECT,113.47378
2024-05-01,CDPROJECT,113.34852
2024-05-02,CDPROJECT,113.22604
2024-05-03,CDPROJECT,113.10646
2024-05-04,CDPROJECT,112.98975
2024-05-05,CDPROJECT,112.876076
2024-05-06,CDPROJECT,112.76545
2024-05-07,CDPROJECT,112.65781
2024-05-08,CDPROJECT,112.55312
2024-04-09,PKNORLEN,68.91558
2024-04-10,PKNORLEN,69.14794
2024-04-11,PKNORLEN,69.33009
2024-04-12,PKNORLEN,69.47654
2024-04-13,PKNORLEN,69.59765
2024-04-14,PKNORLEN,69.70073
2024-04-15,PKNORLEN,69.79094
2024-04-16,PKNORLEN,69.87189
2024-04-17,PKNORLEN,69.9462
2024-04-18,PKNORLEN,70.0159
2024-04-19,PKNORLEN,70.08244
2024-04-20,PKNORLEN,70.14701
2024-04-21,PKNORLEN,70.21052
2024-04-22,PKNORLEN,70.27366
2024-04-23,PKNORLEN,70.33706
2024-04-24,PKNORLEN,70.40125
2024-04-25,PKNORLEN,70.46657
2024-04-26,PKNORLEN,70.533195
2024-04-27,PKNORLEN,70.60139
2024-04-28,PKNORLEN,70.67127
2024-04-29,PKNORLEN,70.7429
2024-04-30,PKNORLEN,70.81623
2024-05-01,PKNORLEN,70.891205
2024-05-02,PKNORLEN,70.967735
2024-05-03,PKNORLEN,71.045715
2024-05-04,PKNORLEN,71.12526
2024-05-05,PKNORLEN,71.20605
2024-05-06,PKNORLEN,71.28782
2024-05-07,PKNORLEN,71.37053
2024-05-08,PKNORLEN,71.45417
2024-04-09,KGHM,121.08662
2024-04-10,KGHM,122.67175
2024-04-11,KGHM,123.80618
2024-04-12,KGHM,124.62674
2024-04-13,KGHM,125.22977
2024-04-14,KGHM,125.68294
2024-04-15,KGHM,126.031555
2024-04-16,KGHM,126.30717
2024-04-17,KGHM,126.52942
2024-04-18,KGHM,126.71124
2024-04-19,KGHM,126.86095
2024-04-20,KGHM,126.98417
2024-04-21,KGHM,127.08496
2024-04-22,KGHM,127.165565
2024-04-23,KGHM,127.22912
2024-04-24,KGHM,127.27676
2024-04-25,KGHM,127.30987
2024-04-26,KGHM,127.33061
2024-04-27,KGHM,127.34029
2024-04-28,KGHM,127.33947
2024-04-29,KGHM,127.32944
2024-04-30,KGHM,127.312035
2024-05-01,KGHM,127.287796
2024-05-02,KGHM,127.25761
2024-05-03,KGHM,127.22206
2024-05-04,KGHM,127.18266
2024-05-05,KGHM,127.139496
2024-05-06,KGHM,127.09383
2024-05-07,KGHM,127.046295
2024-05-08,KGHM,126.99744
2024-04-09,DINOPL,365.55237
2024-04-10,DINOPL,364.07904
2024-04-11,DINOPL,362.66965
2024-04-12,DINOPL,361.34863
2024-04-13,DINOPL,360.1047
2024-04-14,DINOPL,358.9402
2024-04-15,DINOPL,357.86542
2024-04-16,DINOPL,356.87238
2024-04-17,DINOPL,355.9608
2024-04-18,DINOPL,355.13174
2024-04-19,DINOPL,354.37607
2024-04-20,DINOPL,353.68335
2024-04-21,DINOPL,353.06403
2024-04-22,DINOPL,352.51227
2024-04-23,DINOPL,352.023
2024-04-24,DINOPL,351.5869
2024-04-25,DINOPL,351.20386
2024-04-26,DINOPL,350.86722
2024-04-27,DINOPL,350.57913
2024-04-28,DINOPL,350.331
2024-04-29,DINOPL,350.13562
2024-04-30,DINOPL,349.9739
2024-05-01,DINOPL,349.84338
2024-05-02,DINOPL,349.73758
2024-05-03,DINOPL,349.66412
2024-05-04,DINOPL,349.614
2024-05-05,DINOPL,349.5871
2024-05-06,DINOPL,349.58313
2024-05-07,DINOPL,349.59677
2024-05-08,DINOPL,349.62936
2024-04-09,BUDIMEX,698.0432
2024-04-10,BUDIMEX,697.6182
2024-04-11,BUDIMEX,697.3802
2024-04-12,BUDIMEX,697.2777
2024-04-13,BUDIMEX,697.26636
2024-04-14,BUDIMEX,697.3244
2024-04-15,BUDIMEX,697.42755
2024-04-16,BUDIMEX,697.5616
2024-04-17,BUDIMEX,697.7157
2024-04-18,BUDIMEX,697.8788
2024-04-19,BUDIMEX,698.05054
2024-04-20,BUDIMEX,698.2275
2024-04-21,BUDIMEX,698.4037
2024-04-22,BUDIMEX,698.58026
2024-04-23,BUDIMEX,698.75586
2024-04-24,BUDIMEX,698.924
2024-04-25,BUDIMEX,699.08826
2024-04-26,BUDIMEX,699.2511
2024-04-27,BUDIMEX,699.4103
2024-04-28,BUDIMEX,699.56464
2024-04-29,BUDIMEX,699.7159
2024-04-30,BUDIMEX,699.86847
2024-05-01,BUDIMEX,700.0324
2024-05-02,BUDIMEX,700.1857
2024-05-03,BUDIMEX,700.3348
2024-05-04,BUDIMEX,700.48126
2024-05-05,BUDIMEX,700.62897
2024-05-06,BUDIMEX,700.7687
2024-05-07,BUDIMEX,700.9067
2024-05-08,BUDIMEX,701.0392
2024-04-09,PEKAO,187.27011
2024-04-10,PEKAO,188.48376
2024-04-11,PEKAO,189.68767
2024-04-12,PEKAO,190.88472
2024-04-13,PEKAO,192.0775
2024-04-14,PEKAO,193.269
2024-04-15,PEKAO,194.46124
2024-04-16,PEKAO,195.65611
2024-04-17,PEKAO,196.85468
2024-04-18,PEKAO,198.05817
2024-04-19,PEKAO,199.26698
2024-04-20,PEKAO,200.48148
2024-04-21,PEKAO,201.70198
2024-04-22,PEKAO,202.92853
2024-04-23,PEKAO,204.1609
2024-04-24,PEKAO,205.39876
2024-04-25,PEKAO,206.64183
2024-04-26,PEKAO,207.88974
2024-04-27,PEKAO,209.14207
2024-04-28,PEKAO,210.39832
2024-04-29,PEKAO,211.65807
2024-04-30,PEKAO,212.92056
2024-05-01,PEKAO,214.18523
2024-05-02,PEKAO,215.45116
2024-05-03,PEKAO,216.71811
2024-05-04,PEKAO,217.98555
2024-05-05,PEKAO,219.25275
2024-05-06,PEKAO,220.51926
2024-05-07,PEKAO,221.78436
2024-05-08,PEKAO,223.04723
2024-04-06,ALIOR,102.103615
2024-04-07,ALIOR,102.87244
2024-04-08,ALIOR,103.64272
2024-04-09,ALIOR,104.407265
2024-04-10,ALIOR,105.165146
2024-04-11,ALIOR,105.91789
2024-04-12,ALIOR,106.666664
2024-04-13,ALIOR,107.41322
2024-04-14,ALIOR,108.15875
2024-04-15,ALIOR,108.904495
2024-04-16,ALIOR,109.65084
2024-04-17,ALIOR,110.398415
2024-04-18,ALIOR,111.1471
2024-04-19,ALIOR,111.89686
2024-04-20,ALIOR,112.64723
2024-04-21,ALIOR,113.398506
2024-04-22,ALIOR,114.150894
2024-04-23,ALIOR,114.90284
2024-04-24,ALIOR,115.65413
2024-04-25,ALIOR,116.4043
2024-04-26,ALIOR,117.15332
2024-04-27,ALIOR,117.90084
2024-04-28,ALIOR,118.6468
2024-04-29,ALIOR,119.390656
2024-04-30,ALIOR,120.13245
2024-05-01,ALIOR,120.87107
2024-05-02,ALIOR,121.605995
2024-05-03,ALIOR,122.33724
2024-05-04,ALIOR,123.063995
2024-05-05,ALIOR,123.78616
2024-04-09,PEPCO,18.014488
2024-04-10,PEPCO,17.99227
2024-04-11,PEPCO,17.981607
2024-04-12,PEPCO,17.979517
2024-04-13,PEPCO,17.984055
2024-04-14,PEPCO,17.993263
2024-04-15,PEPCO,18.005648
2024-04-16,PEPCO,18.020174
2024-04-17,PEPCO,18.036077
2024-04-18,PEPCO,18.052748
2024-04-19,PEPCO,18.069973
2024-04-20,PEPCO,18.087421
2024-04-21,PEPCO,18.104881
2024-04-22,PEPCO,18.122301
2024-04-23,PEPCO,18.139448
2024-04-24,PEPCO,18.156458
2024-04-25,PEPCO,18.173328
2024-04-26,PEPCO,18.189909
2024-04-27,PEPCO,18.2063
2024-04-28,PEPCO,18.22252
2024-04-29,PEPCO,18.238571
2024-04-30,PEPCO,18.254383
2024-05-01,PEPCO,18.270006
2024-05-02,PEPCO,18.28543
2024-05-03,PEPCO,18.300632
2024-05-04,PEPCO,18.315525
2024-05-05,PEPCO,18.330166
2024-05-06,PEPCO,18.344526
2024-05-07,PEPCO,18.358707
2024-05-08,PEPCO,18.37276
